code,number,price,city
3,344,"229,000 AED",uae_sharjah
U,1313,"109,000 AED",duabi_new
H,3222,"72,000 AED",duabi_new
3,4441,"38,000 AED",uae_sharjah
3,7776,"38,000 AED",uae_sharjah
3,77779,"38,000 AED",uae_sharjah
3,66665,"37,000 AED",uae_sharjah
3,5554,"36,000 AED",uae_sharjah
3,5777,"36,000 AED",uae_sharjah
3,59999,"36,000 AED",uae_sharjah
3,6665,"36,000 AED",uae_sharjah
3,68888,"36,000 AED",uae_sharjah
3,75555,"36,000 AED",uae_sharjah
3,7666,"36,000 AED",uae_sharjah
3,88885,"36,000 AED",uae_sharjah
3,99997,"36,000 AED",uae_sharjah
3,4446,"33,000 AED",uae_sharjah
3,4999,"33,000 AED",uae_sharjah
3,5552,"33,000 AED",uae_sharjah
3,5557,"33,000 AED",uae_sharjah
3,7555,"33,000 AED",uae_sharjah
3,77700,"33,000 AED",uae_sharjah
3,8555,"33,000 AED",uae_sharjah
3,9995,"33,000 AED",uae_sharjah
3,44400,"29,000 AED",uae_sharjah
3,5300,"24,000 AED",uae_sharjah
3,7300,"24,000 AED",uae_sharjah
P,30033,"24,000 AED",duabi_new
L,7765,"17,500 AED",duabi_new
U,8876,"17,500 AED",duabi_new
O,1146,"16,500 AED",duabi_new
E,2744,"12,900 AED",duabi_new
L,22828,"12,900 AED",duabi_new
R,5546,"12,900 AED",duabi_new
3,51151,"12,500 AED",uae_sharjah
Q,2633,"12,500 AED",duabi_new
Q,11189,"11,900 AED",duabi_new
3,55445,"11,500 AED",uae_sharjah
3,66776,"10,900 AED",uae_sharjah
3,88778,"10,900 AED",uae_sharjah
F,6586,"10,900 AED",duabi_new
H,40333,"10,900 AED",duabi_new
J,6376,"10,900 AED",duabi_new
L,40333,"10,900 AED",duabi_new
N,40333,"10,900 AED",duabi_new
P,40333,"10,900 AED",duabi_new
3,1143,"10,500 AED",uae_sharjah
3,1167,"9,900 AED",uae_sharjah
3,1178,"9,900 AED",uae_sharjah
3,1189,"9,900 AED",uae_sharjah
3,2102,"9,900 AED",uae_sharjah
3,2132,"9,900 AED",uae_sharjah
3,4101,"9,900 AED",uae_sharjah
3,42244,"9,900 AED",uae_sharjah
3,57557,"9,900 AED",uae_sharjah
3,59959,"9,900 AED",uae_sharjah
3,64464,"9,900 AED",uae_sharjah
3,75575,"9,900 AED",uae_sharjah
3,8171,"9,900 AED",uae_sharjah
D,45045,"9,900 AED",duabi_new
Q,41041,"9,900 AED",duabi_new
I,33342,"9,500 AED",duabi_new
J,66640,"9,500 AED",duabi_new
H,8009,"8,900 AED",ajman_plate
K,4030,"7,900 AED",ajman_plate
K,5060,"7,900 AED",ajman_plate
O,33367,"7,900 AED",duabi_new
T,23200,"7,900 AED",duabi_new
P,28080,"7,500 AED",duabi_new
F,44400,"6,900 AED",oaq_plate
H,1617,"6,900 AED",ajman_plate
L,40540,"6,900 AED",duabi_new
O,15451,"6,900 AED",duabi_new
3,53111,"6,500 AED",uae_sharjah
3,96111,"6,500 AED",uae_sharjah
H,17717,"6,500 AED",ajman_plate
K,31331,"6,500 AED",ajman_plate
U,14541,"6,500 AED",duabi_new
H,17711,"5,900 AED",ajman_plate
Q,18481,"5,900 AED",duabi_new
S,21331,"5,900 AED",duabi_new
S,33114,"5,900 AED",duabi_new
S,34411,"5,900 AED",duabi_new
S,44113,"5,900 AED",duabi_new
S,51133,"5,900 AED",duabi_new
S,55114,"5,900 AED",duabi_new
S,55411,"5,900 AED",duabi_new
S,66113,"5,900 AED",duabi_new
S,66115,"5,900 AED",duabi_new
S,66445,"5,900 AED",duabi_new
S,76611,"5,900 AED",duabi_new
S,88922,"5,900 AED",duabi_new
U,90110,"5,900 AED",duabi_new
S,44336,"5,500 AED",duabi_new
S,44338,"5,500 AED",duabi_new
S,51221,"5,500 AED",duabi_new
S,54354,"5,500 AED",duabi_new
S,66772,"5,500 AED",duabi_new
S,66773,"5,500 AED",duabi_new
P,50551,"4,900 AED",duabi_new
P,89944,"4,900 AED",duabi_new
S,14911,"4,900 AED",duabi_new
S,51154,"4,900 AED",duabi_new
U,60990,"4,900 AED",duabi_new
D,90102,"4,500 AED",duabi_new
J,65757,"4,500 AED",duabi_new
P,11448,"4,500 AED",duabi_new
P,55118,"4,500 AED",duabi_new
S,14418,"4,500 AED",duabi_new
S,31531,"4,500 AED",duabi_new
S,39119,"4,500 AED",duabi_new
S,41661,"4,500 AED",duabi_new
S,71471,"4,500 AED",duabi_new
S,83113,"4,500 AED",duabi_new
E,30107,"4,000 AED",duabi_new
S,49941,"4,000 AED",duabi_new
S,65562,"4,000 AED",duabi_new
S,65563,"4,000 AED",duabi_new
U,22131,"4,000 AED",duabi_new
U,31322,"4,000 AED",duabi_new
U,40054,"4,000 AED",duabi_new
X,34404,"4,000 AED",duabi_new
J,46262,"3,900 AED",duabi_new
P,85580,"3,900 AED",duabi_new
Q,31731,"3,900 AED",duabi_new
E,21191,"3,500 AED",duabi_new
F,70905,"3,500 AED",duabi_new
L,99040,"3,500 AED",duabi_new
P,60105,"3,500 AED",duabi_new
T,20232,"3,500 AED",duabi_new
U,40433,"3,500 AED",duabi_new
U,44043,"3,500 AED",duabi_new
U,45044,"3,500 AED",duabi_new
U,66303,"3,500 AED",duabi_new
U,66505,"3,500 AED",duabi_new
U,77606,"3,500 AED",duabi_new
X,30131,"3,500 AED",duabi_new
X,32201,"3,500 AED",duabi_new
X,35505,"3,500 AED",duabi_new
X,36606,"3,500 AED",duabi_new
X,40141,"3,500 AED",duabi_new
X,43040,"3,500 AED",duabi_new
X,45040,"3,500 AED",duabi_new
X,46606,"3,500 AED",duabi_new
X,49909,"3,500 AED",duabi_new
X,52202,"3,500 AED",duabi_new
X,53303,"3,500 AED",duabi_new
X,54050,"3,500 AED",duabi_new
X,56050,"3,500 AED",duabi_new
X,62129,"3,500 AED",duabi_new
X,62202,"3,500 AED",duabi_new
X,72202,"3,500 AED",duabi_new
X,89118,"3,500 AED",duabi_new
X,92126,"3,500 AED",duabi_new
X,98119,"3,500 AED",duabi_new
X,99789,"3,500 AED",duabi_new
J,30409,"3,000 AED",duabi_new
K,10904,"3,000 AED",duabi_new
K,30107,"3,000 AED",duabi_new
K,50109,"3,000 AED",duabi_new
K,90401,"3,000 AED",duabi_new
O,55141,"3,000 AED",duabi_new
P,13353,"3,000 AED",duabi_new
P,13363,"3,000 AED",duabi_new
P,14474,"3,000 AED",duabi_new
P,16646,"3,000 AED",duabi_new
P,18848,"3,000 AED",duabi_new
P,24233,"3,000 AED",duabi_new
P,34322,"3,000 AED",duabi_new
P,34355,"3,000 AED",duabi_new
P,34414,"3,000 AED",duabi_new
P,35311,"3,000 AED",duabi_new
P,35344,"3,000 AED",duabi_new
P,36311,"3,000 AED",duabi_new
P,37311,"3,000 AED",duabi_new
P,38311,"3,000 AED",duabi_new
P,43422,"3,000 AED",duabi_new
P,45433,"3,000 AED",duabi_new
P,45466,"3,000 AED",duabi_new
P,46455,"3,000 AED",duabi_new
P,47411,"3,000 AED",duabi_new
P,48411,"3,000 AED",duabi_new
